user_id,anime_id,rating
125,13601,9
125,32282,10
125,28171,10
125,16498,10
125,199,8
125,34612,10
125,205,10
125,30015,10
125,31559,6
125,31240,10
125,30806,5
125,5958,8
125,226,8
125,30911,8
125,2001,9
125,32615,9
125,20583,9
125,10087,10
125,27631,9
125,18507,7
125,11741,10
125,22135,9
125,31710,6
125,31339,9
125,8407,7
125,245,10
125,16894,9
125,30276,9
125,31163,8
125,13331,9
125,12413,9
125,10408,9
125,5680,8
125,8525,9
125,10080,9
125,16706,9
125,32281,10
125,8841,6
125,28623,7
125,11771,9
125,24415,10
125,34599,10
125,31741,9
125,18115,8
125,32182,10
125,164,9
125,457,9
125,21939,10
125,24701,10
125,28957,9
125,19815,10
125,33674,10
125,30503,8
125,12355,9
125,1535,9
125,28891,9
125,19163,7
125,15583,7
125,24655,6
125,777,10
125,1,10
125,2904,10
125,1575,10
125,33486,9
125,31964,9
791,16498,10
791,33502,10
791,33969,10
791,15751,10
791,18523,10
791,17391,10
791,34240,10
791,36684,10
791,19285,10
791,18397,10
791,21843,9
791,8063,10
791,23209,10
791,26243,9
791,28927,9
791,1943,10
791,4026,9
791,20159,10
791,35848,10
791,39991,10
791,40313,10
791,13601,10
791,18413,10
791,33926,9
791,37078,9
791,34549,10
791,12477,10
791,13429,9
791,9926,10
791,11123,10
791,199,10
791,31402,7
791,41353,10
791,19211,10
791,41688,10
791,4224,10
791,523,10
791,16866,10
791,14227,10
791,43288,8
791,33037,9
791,38669,8
791,10321,10
791,12711,10
791,19251,10
791,31178,10
791,21439,10
791,34368,10
791,42950,8
791,40911,9
791,23283,9
791,23319,10
791,11757,10
791,21881,10
791,27891,10
791,20021,10
791,30911,10
791,16524,10
791,34086,10
791,8449,7
791,2236,10
791,22319,10
791,27899,6
791,34863,10
791,5300,10
791,2150,9
791,9332,7
791,15809,9
791,28891,10
791,164,9
791,30307,10
791,20,10
791,8246,10
791,10589,10
791,13667,10
791,21563,10
791,33219,8
791,27991,10
791,31344,9
791,16904,9
791,14467,9
791,37208,10
791,34777,10
791,25649,9
791,4814,9
791,20767,10
791,12355,10
791,3092,9
791,39534,10
791,21235,9
791,11135,10
791,24211,10
791,25303,9
791,2571,10
791,20583,9
791,6553,10
791,21603,6
791,23387,8
791,40496,8
791,21415,10
791,17247,10
791,21105,10
791,41466,5
791,16916,10
791,17259,10
791,19669,9
791,15487,10
791,24415,10
791,22673,10
791,16894,10
791,11771,10
791,34712,8
791,43,10
791,31815,9
791,8634,10
791,35079,10
791,47398,8
791,572,10
791,33018,10
791,9023,10
791,33740,10
791,8532,10
791,1604,10
791,7711,10
791,142,9
791,435,8
791,39463,8
791,24455,8
791,2951,10
791,28907,10
791,14353,9
791,10259,10
791,1482,10
791,31553,10
791,28999,10
791,6280,9
791,34944,10
791,31043,10
791,8247,10
791,2889,10
791,269,10
791,28805,10
791,1535,10
791,38464,8
791,11737,8
791,9919,10
791,28981,5
791,41433,10
791,4081,10
791,597,7
791,19815,10
791,6987,5
791,24991,9
791,10161,10
791,20507,10
791,30503,10
791,30205,10
791,28223,10
791,874,7
791,5593,10
791,25183,9
791,9135,9
791,430,10
791,5114,10
791,121,10
791,41120,9
791,19671,10
791,22265,10
791,18507,10
791,36685,10
791,1361,9
791,38084,9
791,34321,9
791,34662,10
791,18393,10
791,9982,10
791,17535,10
791,12049,10
791,6702,10
791,27831,10
791,30191,10
791,23199,10
791,27833,10
791,8408,10
791,6746,10
791,25567,9
791,38691,10
791,40074,8
791,27857,9
1381,578,10
1381,8074,10
1381,431,10
1381,20583,10
1381,34542,9
1381,37999,10
1381,7054,10
1381,34933,10
1381,37086,10
1381,10408,10
1381,16894,10
1381,6045,9
1381,30503,10
1381,20507,10
1381,1735,10
1381,12979,10
1381,20,10
1381,32182,10
1381,38000,10
1381,245,10
1381,16782,10
1381,34984,10
1381,28851,10
1381,36098,10
1381,32281,10
1381,9656,9
1381,11771,10
1381,39533,9
1381,36456,10
1381,34382,9
1381,35788,10
1381,32282,10
1381,28171,10
1381,16498,10
1381,23273,10
1381,199,10
1381,37450,9
1381,30276,10
1381,23673,9
1381,27775,10
1381,30240,10
1381,30015,10
1381,35466,10
1381,33255,10
1381,35222,10
1381,36949,10
1381,170,10
1381,12355,10
1381,16870,10
1381,14289,10
1381,31964,10
1381,36873,10
1381,37171,10
1381,33486,10
1381,9989,10
1381,22199,10
1381,21995,10
1381,1689,9
1381,36793,10
1381,31646,10
1381,37779,10
1381,37786,10
1381,35968,10
1381,4224,9
1381,22319,10
4360,9989,10
4360,31404,9
4360,442,8
4360,20,9
4360,593,8
4360,857,8
4360,101,9
4360,6547,9
4360,394,8
